# [1]id	[2]Nonref Allele Frequency	[3]Number of sites
0	0.000000	428430
0	1.052632	155666
0	2.105263	87644
0	3.157895	60155
0	4.210526	45704
0	5.263158	36692
0	6.315789	31770
0	7.368421	28072
0	8.421053	25530
0	9.473684	23918
0	10.526316	22162
0	11.578947	20962
0	12.631579	19722
0	13.684211	19103
0	14.736842	18188
0	15.789474	17894
0	16.842105	34070
0	17.894737	15900
0	18.947368	15205
0	20.000000	15348
0	21.052632	14467
0	22.105263	14376
0	23.157895	13794
0	24.210526	13505
0	25.263158	13339
0	26.315789	12921
0	27.368421	12758
0	28.421053	12122
0	29.473684	12128
0	30.526316	11704
0	31.578947	10952
0	32.631579	11288
0	33.684211	11036
0	34.736842	10936
0	35.789474	20817
0	36.842105	10286
0	37.894737	9910
0	38.947368	9954
0	40.000000	9657
0	41.052632	9684
0	42.105263	9361
0	43.157895	9182
0	44.210526	8997
0	45.263158	8875
0	46.315789	8821
0	47.368421	8666
0	48.421053	8232
0	49.473684	8112
0	50.526316	8014
0	51.578947	7921
0	52.631579	7513
0	53.684211	7695
0	54.736842	7323
0	55.789474	14228
0	56.842105	7160
0	57.894737	6827
0	58.947368	6734
0	60.000000	6605
0	61.052632	6496
0	62.105263	6273
0	63.157895	6087
0	64.210526	6145
0	65.263158	6118
0	66.315789	5669
0	67.368421	5898
0	68.421053	5387
0	69.473684	5558
0	70.526316	5264
0	71.578947	5368
0	72.631579	5325
0	73.684211	5191
0	74.736842	9960
0	75.789474	4704
0	76.842105	4765
0	77.894737	4747
0	78.947368	4657
0	80.000000	4603
0	81.052632	4458
0	82.105263	4325
0	83.157895	4242
0	84.210526	4236
0	85.263158	4074
0	86.315789	3984
0	87.368421	3928
0	88.421053	3898
0	89.473684	4004
0	90.526316	3777
0	91.578947	3753
0	92.631579	3733
0	93.684211	3880
0	94.736842	8046
0	95.789474	4619
0	96.842105	5254
0	97.894737	6276
0	98.947368	18811
