# [1]id	[2]Nonref Allele Frequency	[3]Number of sites
0	0.000000	6269048
0	1.052632	1827750
0	2.105263	959223
0	3.157895	627782
0	4.210526	457379
0	5.263158	355714
0	6.315789	297729
0	7.368421	258500
0	8.421053	228211
0	9.473684	207957
0	10.526316	191519
0	11.578947	177853
0	12.631579	163040
0	13.684211	155802
0	14.736842	145691
0	15.789474	140785
0	16.842105	260182
0	17.894737	120263
0	18.947368	116228
0	20.000000	114552
0	21.052632	107926
0	22.105263	101267
0	23.157895	100253
0	24.210526	96423
0	25.263158	92852
0	26.315789	88679
0	27.368421	87076
0	28.421053	84777
0	29.473684	83733
0	30.526316	80940
0	31.578947	76376
0	32.631579	75342
0	33.684211	73837
0	34.736842	71110
0	35.789474	137252
0	36.842105	66650
0	37.894737	64562
0	38.947368	63416
0	40.000000	61325
0	41.052632	61893
0	42.105263	58655
0	43.157895	57321
0	44.210526	55607
0	45.263158	55197
0	46.315789	53036
0	47.368421	53826
0	48.421053	51558
0	49.473684	50316
0	50.526316	50235
0	51.578947	49470
0	52.631579	48938
0	53.684211	46875
0	54.736842	46086
0	55.789474	88385
0	56.842105	43513
0	57.894737	42156
0	58.947368	42596
0	60.000000	41457
0	61.052632	40849
0	62.105263	39875
0	63.157895	38606
0	64.210526	39462
0	65.263158	39540
0	66.315789	37223
0	67.368421	36343
0	68.421053	34798
0	69.473684	35218
0	70.526316	35191
0	71.578947	34075
0	72.631579	33881
0	73.684211	34154
0	74.736842	64326
0	75.789474	31269
0	76.842105	31705
0	77.894737	30863
0	78.947368	30103
0	80.000000	30309
0	81.052632	29228
0	82.105263	28332
0	83.157895	28024
0	84.210526	28063
0	85.263158	26665
0	86.315789	26501
0	87.368421	26091
0	88.421053	26325
0	89.473684	25716
0	90.526316	24926
0	91.578947	24860
0	92.631579	24858
0	93.684211	25967
0	94.736842	55384
0	95.789474	33351
0	96.842105	40246
0	97.894737	49512
0	98.947368	89828
