# [1]Indel length	[2]Count
-60	509
-59	20
-58	32
-57	33
-56	50
-55	34
-54	55
-53	48
-52	44
-51	69
-50	63
-49	54
-48	96
-47	56
-46	74
-45	89
-44	109
-43	105
-42	124
-41	110
-40	153
-39	139
-38	182
-37	178
-36	243
-35	218
-34	258
-33	262
-32	355
-31	336
-30	494
-29	450
-28	621
-27	666
-26	847
-25	996
-24	1233
-23	1058
-22	1333
-21	1425
-20	2031
-19	1775
-18	2393
-17	2320
-16	3737
-15	3760
-14	4660
-13	4466
-12	8188
-11	5698
-10	9016
-9	7550
-8	13537
-7	10175
-6	21203
-5	37597
-4	112825
-3	90576
-2	164286
-1	498101
1	415014
2	103669
3	40926
4	61348
5	18770
6	13254
7	5835
8	10577
9	4768
10	4695
11	2379
12	4103
13	1655
14	1866
15	1722
16	2100
17	1069
18	1236
19	917
20	1266
21	774
22	687
23	546
24	756
25	428
26	419
27	341
28	353
29	207
30	282
31	210
32	221
33	149
34	169
35	105
36	129
37	111
38	99
39	80
40	83
41	79
42	78
43	48
44	59
45	35
46	44
47	38
48	52
49	29
50	43
51	32
52	33
53	27
54	26
55	24
56	21
57	25
58	22
59	17
60	383
